Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms ,Platform Metascores,Platform Metascore Counts
Soda Drinker Pro,14/4/2016,Snowrunner Games,Snowrunner Games,Miscellaneous,Rated E For Everyone,6.4,31,"PC, Xbox One","tbd, 30","Based on 1 Critic Review, Based on 9 Critic Reviews"
Ghost 1.0,7/6/2016,@unepic_fran,@unepic_fran,Metroidvania,Not Rated,7.5,33,"PC, Nintendo Switch, Xbox One, PlayStation 4","80, tbd, tbd, tbd","Based on 7 Critic Reviews, Based on 3 Critic Reviews, Based on 3 Critic Reviews, Based on 2 Critic Reviews"
The Climb,21/4/2016,Crytek,Crytek,Action Adventure,Not Rated,7.6,22,PC,71,Based on 13 Critic Reviews
Shining Force Neo,20/10/2005,Neverland,Sega,Action RPG,Rated T For Teen,7.6,13,PlayStation 2,69,Based on 12 Critic Reviews
Puzzle Quest: Challenge of the Warlords,20/3/2007,1st Playable Productions,D3Publisher,Matching Puzzle,Rated E +10 For Everyone +10,6,13,"PC, PSP, DS, PlayStation 3, Wii, Xbox 360, PlayStation 2","84, 84, 82, tbd, 71, 87, 78","Based on 7 Critic Reviews, Based on 32 Critic Reviews, Based on 41 Critic Reviews, Based on 1 Critic Review, Based on 17 Critic Reviews, Based on 29 Critic Reviews, Based on 11 Critic Reviews"
Hundred Days - Winemaking Simulator,13/5/2021,Broken Arms Games,Broken Arms Games,Tycoon,Not Rated,6.9,16,"PC, iOS (iPhone/iPad), Nintendo Switch","74, tbd, tbd","Based on 7 Critic Reviews, Based on 1 Critic Review, Based on 3 Critic Reviews"
Flight!,19/7/2012,Armor Games,Armor Games,Miscellaneous,Not Rated,6.894852313,,iOS (iPhone/iPad),76,Based on 8 Critic Reviews
NBA Live 14,19/11/2013,EA Sports,Electronic Arts,Basketball,Rated E For Everyone,2.6,175,"PlayStation 4, Xbox One","43, 36","Based on 25 Critic Reviews, Based on 14 Critic Reviews"
Final Fantasy XII: The Zodiac Age,11/7/2017,Square Enix,Square Enix,JRPG,Rated T For Teen,8.4,699,"PlayStation 4, PC, Nintendo Switch, Xbox One","86, 83, 85, 80","Based on 79 Critic Reviews, Based on 14 Critic Reviews, Based on 30 Critic Reviews, Based on 4 Critic Reviews"
Worms Battlegrounds,3/6/2014,Team17,Team17,Artillery,Rated E +10 For Everyone +10,5.9,83,"Xbox One, PlayStation 4","70, 62","Based on 12 Critic Reviews, Based on 16 Critic Reviews"
PQ2: Practical Intelligence Quotient,18/6/2007,Now Production,D3Publisher,Puzzle,Rated E For Everyone,6,,PSP,74,Based on 19 Critic Reviews
Slice It!,31/8/2010,Com2uS,Com2uS,Puzzle,Not Rated,6.894852313,,"iOS (iPhone/iPad), 3DS","83, tbd","Based on 9 Critic Reviews, Based on 3 Critic Reviews"
The Golf Club,19/8/2014,HB Studios Multimedia,HB Studios Multimedia,Golf Sim,Rated E For Everyone,5.4,62,"PC, PlayStation 4, Xbox One","70, 66, 64","Based on 11 Critic Reviews, Based on 11 Critic Reviews, Based on 15 Critic Reviews"
Monster Boy and the Cursed Kingdom,4/12/2018,FDG Entertainment,FDG Entertainment,Metroidvania,Rated E +10 For Everyone +10,8,158,"PC, Xbox One, PlayStation 4, Nintendo Switch","82, 85, 87, 86","Based on 5 Critic Reviews, Based on 12 Critic Reviews, Based on 18 Critic Reviews, Based on 24 Critic Reviews"
Kick & Fennick,3/2/2015,Jaywalkers Interactive,Green Hill,2D Platformer,Rated E +10 For Everyone +10,7.3,41,"PlayStation Vita, PlayStation 4, Wii U, Xbox One","65, 73, tbd, 61","Based on 15 Critic Reviews, Based on 4 Critic Reviews, Based on 3 Critic Reviews, Based on 5 Critic Reviews"
Phantaruk,16/8/2016,Polyslash,PlayWay,Survival,Not Rated,7.4,15,"PC, Nintendo Switch","53, tbd","Based on 14 Critic Reviews, Based on 1 Critic Review"
Rayman 2: The Great Escape,22/3/2011,Ubisoft Casablanca,Ubisoft,3D Platformer,Rated E For Everyone,6.4,69,"PlayStation 2, Nintendo 64, iOS (iPhone/iPad), 3DS, DS","90, 90, 53, 61, 58","Based on 16 Critic Reviews, Based on 12 Critic Reviews, Based on 8 Critic Reviews, Based on 39 Critic Reviews, Based on 20 Critic Reviews"
Top Gear Rally,28/10/2003,Tantalus,Nintendo,Auto Racing Sim,Rated E For Everyone,6.894852313,,Game Boy Advance,78,Based on 12 Critic Reviews
In Between (2015),8/6/2016,Gentlymad,Headup Games,2D Platformer,Rated T For Teen,7,8,"Xbox One, Nintendo Switch, PC, iOS (iPhone/iPad)","68, tbd, 68, tbd","Based on 11 Critic Reviews, Based on 1 Critic Review, Based on 4 Critic Reviews, Based on 2 Critic Reviews"
Silent Scope 3,15/10/2002,KCET,Konami,Rail Shooter,Rated M For Mature,6.894852313,,PlayStation 2,61,Based on 12 Critic Reviews
Blade Kitten,21/9/2010,Krome Studios,Atari SA,Adventure,Rated T For Teen,6.5,10,"PlayStation 3, PC, Xbox 360","59, 52, 58","Based on 28 Critic Reviews, Based on 10 Critic Reviews, Based on 27 Critic Reviews"
The Legend of Legacy,13/10/2015,Cattle Call,Atlus,JRPG,Rated E For Everyone,7,64,3DS,67,Based on 31 Critic Reviews
City of Brass,4/5/2018,Uppercut Games Pty Ltd,Uppercut Games Pty Ltd,Action Adventure,Rated T For Teen,4.8,22,"PC, Xbox One, PlayStation 4, Nintendo Switch","69, 67, 66, 75","Based on 11 Critic Reviews, Based on 13 Critic Reviews, Based on 22 Critic Reviews, Based on 7 Critic Reviews"
Snow Bros. Nick & Tom Special,19/5/2022,CRT Games,"Daewon Media Co., Ltd.",2D Platformer,Rated E For Everyone,5.1,7,Nintendo Switch,60,Based on 7 Critic Reviews
Golf With Your Friends,19/5/2020,Blacklight Interactive,Team17,Golf,Rated E +10 For Everyone +10,5.5,42,"PC, PlayStation 4, Nintendo Switch, Xbox One","tbd, 69, 71, 68","Based on 3 Critic Reviews, Based on 4 Critic Reviews, Based on 8 Critic Reviews, Based on 12 Critic Reviews"
Chocobo GP,10/3/2022,Arika,Square Enix,Arcade Racing,Rated E +10 For Everyone +10,2.3,142,Nintendo Switch,63,Based on 75 Critic Reviews
One Piece: Burning Blood,31/5/2016,Spike Chunsoft,Bandai Namco Games,3D Fighting,Rated T For Teen,7.1,120,"PlayStation Vita, PlayStation 4, Xbox One, PC","62, 66, 60, tbd","Based on 4 Critic Reviews, Based on 45 Critic Reviews, Based on 10 Critic Reviews, Based on 1 Critic Review"
Through the Darkest of Times,30/1/2020,Paintbucket Games,HandyGames,Strategy,Not Rated,5.4,18,"PC, Nintendo Switch, PlayStation 4, Xbox One","71, tbd, tbd, tbd","Based on 24 Critic Reviews, Based on 2 Critic Reviews, Based on 3 Critic Reviews, Based on 3 Critic Reviews"
Star Wars Pinball: The Force Awakens,12/1/2016,Zen Studios,Zen Studios,Pinball,Not Rated,5,16,"PlayStation 4, PC, Xbox One","81, tbd, tbd","Based on 9 Critic Reviews, Based on 2 Critic Reviews, Based on 3 Critic Reviews"
Guns of Icarus Online,29/10/2012,Muse Games,Muse Games,Aircraft Combat Sim,Not Rated,7.7,337,PC,64,Based on 7 Critic Reviews
The Sims,31/1/2000,Maxis,Maxis,Virtual Life,Rated T For Teen,8,803,"PlayStation 2, GameCube, Xbox, PC","83, 85, 84, 92","Based on 33 Critic Reviews, Based on 16 Critic Reviews, Based on 17 Critic Reviews, Based on 38 Critic Reviews"
Constantine (2005),14/2/2005,Bits Studios,THQ,Action Adventure,Rated M For Mature,7.7,7,"PlayStation 2, Xbox","58, 60","Based on 29 Critic Reviews, Based on 31 Critic Reviews"
Danger Zone 2,13/7/2018,Three Fields Entertainment,Three Fields Entertainment,Auto Racing,Rated E +10 For Everyone +10,5,10,"Xbox One, PlayStation 4, PC","69, 68, tbd","Based on 8 Critic Reviews, Based on 17 Critic Reviews, Based on 2 Critic Reviews"
Dungeons,10/2/2011,Realmforge Studios,Kalypso,Strategy,Rated M For Mature,4.7,110,PC,65,Based on 35 Critic Reviews
Total Annihilation,27/9/1997,Cavedog Entertainment,Humongous Entertainment,Command RTS,Rated T For Teen,8.7,186,PC,86,Based on 10 Critic Reviews
Pit People,2/3/2018,The Behemoth,The Behemoth,Turn-Based Tactics,Not Rated,8.2,46,"PC, Xbox One","78, 79","Based on 16 Critic Reviews, Based on 12 Critic Reviews"
Bit.Trip Runner,17/5/2010,Gaijin Games,Aksys Games,Rhythm,Rated E For Everyone,7.1,16,"PC, Wii, Nintendo Switch","tbd, 76, 78","Based on 1 Critic Review, Based on 25 Critic Reviews, Based on 5 Critic Reviews"
Shadow Puppeteer,28/1/2016,Sarepta studio,Snow Cannon Games,3D Platformer,Rated T For Teen,6.6,17,"PC, Wii U","57, 57","Based on 5 Critic Reviews, Based on 9 Critic Reviews"
Street Fighter III: Double Impact,19/6/2000,Capcom,Capcom,2D Fighting,Rated T For Teen,8.1,18,Dreamcast,84,Based on 19 Critic Reviews
Gears Tactics,28/4/2020,Splash Damage,Microsoft Game Studios,Turn-Based Tactics,Rated M For Mature,7.8,509,"PC, Xbox One, Xbox Series X","80, tbd, 82","Based on 99 Critic Reviews, Based on 2 Critic Reviews, Based on 15 Critic Reviews"
Mega Man Star Force 2: Zerker x Ninja,24/6/2008,Capcom,Capcom,Action RPG,Rated E For Everyone,5.9,19,DS,55,Based on 14 Critic Reviews
Clockwork Aquario,14/12/2021,Westone Bit Entertainment,ININ Games,2D Platformer,Rated E For Everyone,6.2,6,"PlayStation 4, Nintendo Switch, Xbox Series X","69, 70, tbd","Based on 8 Critic Reviews, Based on 20 Critic Reviews, Based on 1 Critic Review"
SUPERHOT,25/2/2016,SUPERHOT,SUPERHOT,FPS,Rated T For Teen,7.6,745,"PC, Xbox One, PlayStation 4, Nintendo Switch","82, 83, 83, 84","Based on 96 Critic Reviews, Based on 18 Critic Reviews, Based on 14 Critic Reviews, Based on 6 Critic Reviews"
League of Evil 2,15/2/2012,Ravenous Games,Ravenous Games,Action,Not Rated,6.894852313,,iOS (iPhone/iPad),82,Based on 12 Critic Reviews
MVP 07 NCAA Baseball,6/2/2007,EA Canada,Electronic Arts,Baseball Sim,Rated E For Everyone,6.894852313,,PlayStation 2,76,Based on 25 Critic Reviews
NiGHTS into Dreams... (2012),5/10/2012,Sonic Team,Sega,Action,Rated E For Everyone,7.9,45,"Xbox 360, PlayStation 3, PC","72, 75, tbd","Based on 19 Critic Reviews, Based on 8 Critic Reviews, Based on 1 Critic Review"
A Bastard's Tale,4/10/2016,No Pest Productions,No Pest Productions,2D Beat-'Em-Up,Rated T For Teen,5.5,6,"PC, PlayStation 4","tbd, 48","Based on 2 Critic Reviews, Based on 7 Critic Reviews"
F.E.A.R. Perseus Mandate,6/11/2007,TimeGate Studios,Sierra Entertainment,FPS,Rated M For Mature,7.1,147,PC,61,Based on 27 Critic Reviews
KickBeat,3/9/2013,Zen Studios,Zen Studios,Rhythm,Rated T For Teen,7.4,31,"PlayStation Vita, PlayStation 3, PlayStation 4, Xbox One, Wii U, PC","67, tbd, 60, tbd, 62, 66","Based on 20 Critic Reviews, Based on 2 Critic Reviews, Based on 13 Critic Reviews, Based on 2 Critic Reviews, Based on 6 Critic Reviews, Based on 7 Critic Reviews"
Picross e4,1/5/2014,Jupiter Corporation,Jupiter Corporation,Logic Puzzle,Rated E For Everyone,9,,3DS,68,Based on 8 Critic Reviews
Hexyz Force,24/5/2010,Sting,Atlus,JRPG,Rated T For Teen,7.3,19,PSP,68,Based on 13 Critic Reviews
The Coma: Recut,21/12/2017,Devespresso Games,Digerati Distribution,Survival,Rated T For Teen,6.4,18,"Xbox One, PlayStation 4, Nintendo Switch","71, 64, 62","Based on 5 Critic Reviews, Based on 4 Critic Reviews, Based on 7 Critic Reviews"
Lost Judgment,21/9/2021,Ryu ga Gotoku Studios,Sega,Open-World Action,Rated M For Mature,7.7,296,"PlayStation 5, PlayStation 4, Xbox Series X, PC","82, 83, 80, 84","Based on 83 Critic Reviews, Based on 6 Critic Reviews, Based on 19 Critic Reviews, Based on 6 Critic Reviews"
Malice (2004),2/6/2004,Argonaut Games,Mud Duck Productions,3D Platformer,Rated T For Teen,6.894852313,,"Xbox, PlayStation 2","48, 51","Based on 16 Critic Reviews, Based on 11 Critic Reviews"
Dark Age of Camelot: Trials of Atlantis,28/10/2003,Mythic Entertainment,Mythic Entertainment,MMORPG,Rated T For Teen,7.2,6,PC,75,Based on 14 Critic Reviews
Final Fantasy XV,29/11/2016,Square Enix,Square Enix,Action RPG,Rated T For Teen,7.8,5703,"PlayStation 4, Xbox One","81, 83","Based on 113 Critic Reviews, Based on 13 Critic Reviews"
Achron,29/8/2011,Hazardous Software,Hazardous Software,Real-Time Strategy,Not Rated,7.3,19,PC,54,Based on 11 Critic Reviews
Duke Nukem 3D: Megaton Edition,6/1/2015,Abstraction Games,Devolver Digital,FPS,Rated M For Mature,8.1,46,"PC, PlayStation 3, PlayStation Vita","tbd, 70, 69","Based on 1 Critic Review, Based on 7 Critic Reviews, Based on 14 Critic Reviews"
The History Channel: Civil War - A Nation Divided,14/11/2006,Cauldron Ltd.,Activision,FPS,Rated T For Teen,5,6,"PlayStation 2, PC, Xbox 360","tbd, tbd, 53","Based on 2 Critic Reviews, Based on 1 Critic Review, Based on 19 Critic Reviews"
Call of Duty: Strike Team,5/9/2013,Activision,Activision,FPS,Rated M For Mature,4.8,25,iOS (iPhone/iPad),71,Based on 24 Critic Reviews
ATV Offroad Fury 4,31/10/2006,Climax Studios,SCEA,Auto Racing Sim,Rated E For Everyone,8,21,PlayStation 2,77,Based on 36 Critic Reviews
Young Souls,10/3/2022,1P2P,The Arcade Crew,2D Beat-'Em-Up,Rated M For Mature,6.3,18,"PC, Nintendo Switch, PlayStation 4, Xbox One","81, 76, 78, 80","Based on 14 Critic Reviews, Based on 7 Critic Reviews, Based on 6 Critic Reviews, Based on 9 Critic Reviews"
MLB The Show 22,1/4/2022,Sony Interactive Entertainment San Diego Studio,Sony Interactive Entertainment,Baseball Sim,Rated E For Everyone,5.4,75,"Nintendo Switch, PlayStation 4, PlayStation 5, Xbox Series X","81, tbd, 77, 80","Based on 4 Critic Reviews, Based on 3 Critic Reviews, Based on 48 Critic Reviews, Based on 15 Critic Reviews"
Dungeon Siege,31/3/2002,Gas Powered Games,Microsoft Game Studios,Action RPG,Rated T For Teen,7.8,266,PC,86,Based on 29 Critic Reviews
Archer Maclean's Mercury,6/4/2005,Awesome Studios,Ignition Entertainment,Puzzle,Rated E For Everyone,6.7,6,PSP,75,Based on 39 Critic Reviews
Bright Memory,10/11/2020,FYQD Personal Studio,Playism,FPS,Not Rated,6.894852313,,"PC, Xbox Series X","tbd, 55","Based on 2 Critic Reviews, Based on 32 Critic Reviews"
Chronicle of Innsmouth: Mountains of Madness,23/3/2021,Psychodev,Psychodev,Point-and-Click,Not Rated,7.5,6,PC,68,Based on 8 Critic Reviews
Call of Duty: Vanguard,4/11/2021,Sledgehammer Games,Activision,Tactical FPS,Rated M For Mature,3.7,1578,"PC, PlayStation 5, Xbox Series X, PlayStation 4","72, 73, 74, tbd","Based on 31 Critic Reviews, Based on 72 Critic Reviews, Based on 16 Critic Reviews, Based on 2 Critic Reviews"
Naruto: Ultimate Ninja Heroes 2: The Phantom Fortress,24/6/2008,CyberConnect2,Namco Bandai Games,3D Fighting,Rated T For Teen,7.1,24,PSP,64,Based on 20 Critic Reviews
Danger Alliance: Battles,12/10/2011,TOME Studios,TOME Studios,Turn-Based Strategy,Not Rated,6.894852313,,iOS (iPhone/iPad),69,Based on 7 Critic Reviews
Dr. Mario,25/10/2004,Nintendo,Nintendo,Matching Puzzle,Rated E For Everyone,8.4,9,Game Boy Advance,66,Based on 10 Critic Reviews
Bomberman (2006),12/9/2006,Hudson,Konami,Action Puzzle,Rated E For Everyone,8.4,15,PSP,73,Based on 30 Critic Reviews
Gear.Club Unlimited,21/11/2017,Eden Games Mobile,Microids,Auto Racing Sim,Rated E For Everyone,6.5,69,"iOS (iPhone/iPad), Nintendo Switch","80, 64","Based on 5 Critic Reviews, Based on 36 Critic Reviews"
ESPN NHL 2K5,30/8/2004,Kush Games,Sega,Hockey Sim,Rated E For Everyone,6,8,"PlayStation 2, Xbox","86, 88","Based on 25 Critic Reviews, Based on 32 Critic Reviews"
Inside My Radio,11/5/2015,Seaven Studio,Iceberg Interactive,2D Platformer,Rated E +10 For Everyone +10,7.4,8,"PC, Xbox One, PlayStation 4, Wii U","68, 62, tbd, 56","Based on 8 Critic Reviews, Based on 5 Critic Reviews, Based on 3 Critic Reviews, Based on 4 Critic Reviews"
Rayman Raving Rabbids 2,15/11/2007,Ubisoft Montpellier,Ubisoft,Party,Rated E +10 For Everyone +10,6.8,36,"Wii, DS","67, 57","Based on 25 Critic Reviews, Based on 8 Critic Reviews"
World Soccer Winning Eleven 8 International,1/2/2005,KCET,Konami,Soccer Sim,Rated E For Everyone,7.5,28,"PlayStation 2, PC, Xbox","91, 88, 90","Based on 26 Critic Reviews, Based on 7 Critic Reviews, Based on 25 Critic Reviews"
Destiny 2: Forsaken,4/9/2018,Bungie,Activision,FPS,Rated T For Teen,6.4,321,"PlayStation 4, PC, Xbox One","82, 84, 86","Based on 46 Critic Reviews, Based on 21 Critic Reviews, Based on 16 Critic Reviews"
Jay and Silent Bob: Mall Brawl,20/5/2021,Spoony Bard Productions,Limited Run Games,2D Beat-'Em-Up,Not Rated,6.894852313,,"Nintendo Switch, Xbox One, PlayStation 4","73, 68, 46","Based on 9 Critic Reviews, Based on 10 Critic Reviews, Based on 4 Critic Reviews"
24: The Game,28/2/2006,SCE Studio Cambridge,2K Games,Action Adventure,Rated M For Mature,7.6,27,PlayStation 2,62,Based on 53 Critic Reviews
iBlast Moki 2,18/8/2011,Godzilab,Godzilab,Edutainment,Not Rated,4.3,,iOS (iPhone/iPad),90,Based on 11 Critic Reviews
AquaPazza: AquaPlus Dream Match,19/11/2013,Examu,Atlus,2D Fighting,Rated T For Teen,8,24,PlayStation 3,75,Based on 13 Critic Reviews
Brain Assist,26/2/2008,Japan Art Media (JAM),Sega,Edutainment,Rated E For Everyone,6.894852313,,DS,53,Based on 17 Critic Reviews
Heatseeker,1/5/2007,IR Gurus,Codemasters,Aircraft Combat Sim,Rated T For Teen,7.2,5,"Wii, PSP, PlayStation 2","62, 49, 60","Based on 25 Critic Reviews, Based on 7 Critic Reviews, Based on 22 Critic Reviews"
Fitness Boxing 2: Rhythm & Exercise,4/12/2020,Jupiter Corporation,Nintendo,Exercise,Rated E For Everyone,6.2,19,Nintendo Switch,66,Based on 29 Critic Reviews
Multiwinia: Survival of the Flattest,19/9/2008,Introversion,Introversion,Real-Time Strategy,Not Rated,6.4,16,PC,76,Based on 38 Critic Reviews
P.T.O. IV: Pacific Theater of Operations,3/2/2003,Koei,Koei,Turn-Based Strategy,Rated E For Everyone,6.894852313,,PlayStation 2,71,Based on 12 Critic Reviews
Summer Athletics: The Ultimate Challenge,4/8/2008,49Games,Conspiracy Entertainment,Athletics,Rated E For Everyone,6.894852313,,"Wii, Xbox 360, PlayStation 2","56, 48, tbd","Based on 13 Critic Reviews, Based on 10 Critic Reviews, Based on 2 Critic Reviews"
Dungeon Defenders: Awakened,28/5/2020,Chromatic Games,Chromatic Games,Defense,Not Rated,7.3,6,"Nintendo Switch, PC, Xbox One, PlayStation 4, Xbox Series X","tbd, 74, tbd, tbd, tbd","Based on 1 Critic Review, Based on 8 Critic Reviews, Based on 3 Critic Reviews, Based on 2 Critic Reviews, Based on 1 Critic Review"
Star Trek: Klingon Academy,21/6/2000,14 Degrees East,Interplay,Space Sim,Rated T For Teen,6.9,14,PC,74,Based on 14 Critic Reviews
Resident Evil 2,25/1/2019,Capcom R&D Division 1,Capcom,Survival,Rated M For Mature,8.9,5338,"PlayStation 4, Xbox One, PC, PlayStation 5, Nintendo Switch","91, 93, 89, tbd, tbd","Based on 94 Critic Reviews, Based on 29 Critic Reviews, Based on 30 Critic Reviews, Based on 2 Critic Reviews, Based on 1 Critic Review"
Aliens Versus Predator 2,31/10/2001,Monolith Productions,Fox Interactive,FPS,Rated M For Mature,8.7,198,PC,85,Based on 27 Critic Reviews
Dead or Alive: Xtreme Beach Volleyball,22/1/2003,Team Ninja,Tecmo,Volleyball,Rated M For Mature,8.6,27,Xbox,73,Based on 42 Critic Reviews
Super Monkey Ball 2,25/8/2002,Amusement Vision,Sega,Party,Rated E For Everyone,8.2,79,"GameCube, iOS (iPhone/iPad)","87, 74","Based on 34 Critic Reviews, Based on 7 Critic Reviews"
Bee Leader,24/5/2012,Flightless,Flightless,Action,Not Rated,6.894852313,,iOS (iPhone/iPad),83,Based on 7 Critic Reviews
Zoo Tycoon,22/11/2013,Frontier Developments,Microsoft Game Studios,Tycoon,Rated E For Everyone,3.2,325,"Xbox One, Xbox 360","68, tbd","Based on 45 Critic Reviews, Based on 2 Critic Reviews"
Frogger Helmet Chaos,29/9/2005,Konami Computer Entertainment Hawaii,Konami,3D Platformer,Rated E For Everyone,8.3,6,"PSP, DS","66, 69","Based on 18 Critic Reviews, Based on 10 Critic Reviews"
How to Survive: Storm Warning Edition,4/11/2014,EKO Software,505 Games,Survival,Rated M For Mature,6.3,29,"Xbox One, PlayStation 4","71, 65","Based on 4 Critic Reviews, Based on 8 Critic Reviews"
Shadow Bug,30/3/2018,Muro Studios Ltd.,Muro Studios Ltd.,2D Platformer,Rated E +10 For Everyone +10,6,13,"iOS (iPhone/iPad), Nintendo Switch","81, 74","Based on 4 Critic Reviews, Based on 11 Critic Reviews"
Kohan II: Kings of War,22/9/2004,TimeGate Studios,Global Star Software,Command RTS,Rated T For Teen,8.9,31,PC,81,Based on 38 Critic Reviews
Ghost Song,3/11/2022,Old Moon,Humble Games,Metroidvania,Rated T For Teen,7.1,73,"PC, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 5","79, tbd, 81, tbd, 72","Based on 13 Critic Reviews, Based on 3 Critic Reviews, Based on 5 Critic Reviews, Based on 1 Critic Review, Based on 4 Critic Reviews"
The Walking Dead: Episode 4 - Around Every Corner,10/10/2012,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,8,243,"Xbox 360, PlayStation 3, PC","82, 81, 80","Based on 19 Critic Reviews, Based on 9 Critic Reviews, Based on 24 Critic Reviews"
Monsters (Probably) Stole My Princess,22/4/2010,Mediatonic,Mediatonic,2D Platformer,Rated E +10 For Everyone +10,6.894852313,,"Xbox 360, PSP","tbd, 72","Based on 2 Critic Reviews, Based on 18 Critic Reviews"
The Pedestrian,29/1/2020,Skookum Arts,Skookum Arts,Action Puzzle,Not Rated,7.9,78,"PC, PlayStation 4, Xbox Series X, PlayStation 5, Xbox One","81, tbd, tbd, 83, tbd","Based on 24 Critic Reviews, Based on 1 Critic Review, Based on 1 Critic Review, Based on 10 Critic Reviews, Based on 2 Critic Reviews"
Flipping Death,7/8/2018,Zoink!,Zoink!,Action Adventure,Rated T For Teen,7.3,31,"Nintendo Switch, PlayStation 4, Xbox One, PC","83, 76, 79, 75","Based on 12 Critic Reviews, Based on 6 Critic Reviews, Based on 7 Critic Reviews, Based on 6 Critic Reviews"
Swing Copters,21/8/2014,,,Arcade,Not Rated,3.4,10,iOS (iPhone/iPad),56,Based on 7 Critic Reviews
Fae Farm,8/9/2023,Phoenix Labs,Phoenix Labs,Virtual Life,Rated E +10 For Everyone +10,6.5,36,"Nintendo Switch, PC","75, 75","Based on 48 Critic Reviews, Based on 13 Critic Reviews"
King of Fighters R-2,7/8/2020,Code Mystics Inc.,SNK Corporation,2D Fighting,Rated E +10 For Everyone +10,6.894852313,,Nintendo Switch,71,Based on 8 Critic Reviews
